algo_tag,algo,FND,HND,LND,func_life_pdr85,drop_p,total_p,pdr,drop_rate,timely_transfer_rate,energy_rate,energy_per_delivered,throughput_bits_per_round,avg_ch_per_round,avg_cluster_size,avg_hops_to_bs,malicious_delay,malicious_drop,blacklisted_malicious,blacklisted_normal,false_blacklist_events,control_overhead_bits,rounds_run,seed,ratio
TRAIL,TRAIL,518,961,9455,917,20341,89259,0.7721126160947356,0.22788738390526442,0.9376360312255144,0.8753625092641186,0.0007250643325155719,29156.21364357483,1.727974616604971,4.076188437885326,1.1755274384050611,2455,9079,30,0,0,38988600,9455,44,0.3
SHEER,SHEER,1302,1312,12092,300,21505,87564,0.7544082042848659,0.24559179571513412,0.9066743365779076,0.8282339138785708,0.000756518633832182,21852.133642077406,1.5817069136619253,2.532992494053525,1.0,3640,13322,22,0,0,38862800,12092,45,0.3
ACTAR,ACTAR,819,939,8512,300,22190,87831,0.7473557172296798,0.25264428277032025,0.9024694931521458,0.8214835344850341,0.0007614262997479724,30846.334586466164,1.7255639097744362,3.096314078113303,1.6394326716533874,2720,17653,20,0,0,38074600,8512,45,0.3
TFSM_DPC,TFSM_DPC,533,1174,9602,300,20783,82394,0.7477607592785882,0.2522392407214118,0.9055363490285826,0.8292909870810831,0.0008066823141459053,25665.90293688815,1.7057904603207665,3.0312941041822596,1.8121763970719513,2984,15385,27,0,0,36244600,9602,45,0.3
DST_WOA,DST_WOA,742,1390,10182,304,20420,89900,0.7728587319243604,0.2271412680756396,0.9189119170984456,0.8661951981623154,0.0007192699324284421,27295.226870948733,1.5329994107248084,3.7887890394814363,1.2499136442141623,2801,11041,26,0,0,39105200,10182,45,0.3
TRAIL,TRAIL,662,942,12701,903,18686,86915,0.7850083414830582,0.2149916585169418,0.9400694719254276,0.8893746863840695,0.0007324290406505126,21487.756869537832,1.5429493740650342,3.03525072590709,1.2068328716528163,3575,7946,30,0,0,38708400,12701,45,0.3
SHEER,SHEER,1274,1290,7704,300,23154,88630,0.7387566286810335,0.26124337131896647,0.886844034455373,0.8088212720458555,0.000763238131307317,33995.846313603324,1.977803738317757,3.1968049992582728,1.0,2515,15050,22,0,0,38470800,7704,46,0.3
ACTAR,ACTAR,839,968,6244,300,22476,86672,0.7406774967694296,0.2593225032305704,0.8934980372608885,0.8087517208938779,0.000778500114679264,41124.9199231262,2.060057655349135,3.371146020237147,1.62893326687021,2127,17647,15,0,0,36723000,6244,46,0.3
TFSM_DPC,TFSM_DPC,656,1129,6921,300,20707,82312,0.748432792302459,0.25156720769754104,0.8968752536320104,0.8273969320092119,0.0008089733565878305,35604.681404421324,1.9991330732553099,3.75070185375659,1.8069474880285692,2203,15158,23,0,0,35628800,6921,46,0.3
DST_WOA,DST_WOA,662,1465,8042,300,21498,89797,0.7605933383075159,0.23940666169248415,0.9176415467283562,0.8510552504181662,0.0007316786668790115,33971.151454861974,1.6770703805023626,4.374042526734642,1.2536347530710552,2139,12579,23,0,0,38652400,8042,46,0.3
TRAIL,TRAIL,363,901,10119,887,19300,87608,0.7797004839740663,0.22029951602593367,0.9357615506236459,0.8830241477678822,0.0007315926431458351,27001.877655894852,1.6655796027275422,3.766498622409533,1.2656350647069157,2783,8440,30,0,0,38438200,10119,46,0.3
SHEER,SHEER,1370,1382,8115,300,21567,87836,0.7544628626075869,0.24553713739241312,0.8983687697113281,0.8254702242568461,0.0007540007995333738,32664.94146642021,1.9460258780036968,3.102092978904441,1.0,2510,13570,21,0,0,38303800,8115,47,0.3
ACTAR,ACTAR,843,1005,6410,300,21194,87298,0.7572223876835666,0.24277761231643336,0.9037879704707733,0.8309465768923175,0.0007559720202663933,41250.54602184088,1.9764430577223089,3.782777473869518,1.6292660050828998,2009,16290,22,0,0,37460000,6410,47,0.3
TFSM_DPC,TFSM_DPC,644,1218,6792,300,20188,81817,0.7532542136719753,0.24674578632802469,0.905580165181976,0.8268313509490932,0.0008103564356669678,36295.05300353357,2.152385159010601,3.293310170435832,1.7874539583637574,2186,15534,19,0,0,35645600,6792,47,0.3
DST_WOA,DST_WOA,648,1589,7376,300,20122,89168,0.7743360846940607,0.22566391530593932,0.9221098977493265,0.8649356155830815,0.0007237539664865804,37443.60086767896,1.7664045553145336,4.725413503253797,1.223416273209165,1836,11182,25,0,0,38311800,7376,47,0.3
TRAIL,TRAIL,686,1020,9995,958,18565,87152,0.7869813658894804,0.21301863411051958,0.9452811757330106,0.8900807187751409,0.0007285422332228202,27448.524262131064,1.7291645822911457,3.6590976945904408,1.2136702290521528,2641,7787,30,0,0,38331800,9995,47,0.3
SHEER,SHEER,1265,1278,11785,300,20216,87791,0.7697258261097379,0.23027417389026206,0.8903884572697003,0.8378932876654307,0.0007394867069229598,22935.935511243104,1.5933814170555791,2.558751540497404,1.0,3691,12635,23,0,0,38882000,11785,48,0.3
